frase,situacao
sinto uma dor forte no peito que irradia para o braço esquerdo,alto risco
tenho falta de ar intensa que começou de repente há uma hora,alto risco
tive um desmaio durante atividade física e ainda estou tonto,alto risco
sinto dor no peito acompanhada de suor frio e náusea,alto risco
acordo no meio da noite sufocado sem conseguir respirar,alto risco
meu coração está disparando e sinto que vou desmaiar,alto risco
sinto uma pressão forte no peito que piora quando caminho,alto risco
estou com falta de ar mesmo em repouso e as pernas muito inchadas,alto risco
tive uma dor no peito que durou mais de vinte minutos sem parar,alto risco
sinto dor no peito que vai para a mandíbula e o pescoço,alto risco
estou com falta de ar grave e tosse com sangue,alto risco
senti uma dor súbita no peito como se algo rasgasse por dentro,alto risco
meu coração está muito acelerado e sinto pressão no tórax,alto risco
estou com inchaço nas pernas e não consigo deitar para dormir,alto risco
tive perda de consciência e quando voltei sentia dor no peito,alto risco
sinto aperto no peito que piora com qualquer esforço mínimo,alto risco
tenho falta de ar que vem piorando nos últimos dias e não melhora,alto risco
estou com dor intensa no peito e formigamento no braço esquerdo,alto risco
sinto o coração batendo muito rápido e irregular com tontura,alto risco
tive um mal estar súbito com suor frio e quase desmaiei,alto risco
acordo sufocado precisando sentar para conseguir respirar,alto risco
sinto dor no peito quando subo escadas e às vezes irradia para as costas,alto risco
estou com falta de ar e o peito muito pesado há três dias seguidos,alto risco
sinto palpitações fortes acompanhadas de dor no peito e suor,alto risco
tive uma síncope sem explicação e minha família tem histórico cardíaco,alto risco
sinto dor no peito em aperto com náusea e vontade de vomitar,alto risco
estou com dificuldade para respirar mesmo sentado e os pés inchados,alto risco
meu coração falha batimentos e sinto que vai parar,alto risco
sinto dor no peito que não passa com nada e estou com medo,alto risco
tenho pressão no peito que surgiu do nada junto com suor frio,alto risco
estou com falta de ar progressiva e já não consigo mais subir escadas,alto risco
sinto o peito apertado e dor que vai para o braço e mandíbula,alto risco
tive dor forte no peito após esforço intenso que não passou com repouso,alto risco
estou com palpitações muito rápidas e escurecimento da visão,alto risco
sinto dispneia intensa ao mínimo esforço e edema nos tornozelos,alto risco
tive dor torácica aguda acompanhada de falta de ar e palidez,alto risco
estou com arritmia cardíaca e pressão no peito que não alivia,alto risco
sinto dor no peito há dois dias que piora a cada hora,alto risco
meu coração dispara sem motivo e sinto desmaiar a qualquer momento,alto risco
estou com fadiga extrema e falta de ar ao deitar nos últimos dias,alto risco
sinto dor opressiva no tórax que piora com esforço e melhora pouco em repouso,alto risco
tenho falta de ar súbita com chiado e aperto no peito,alto risco
sinto o peito queimando e a dor irradia para o braço e ombro esquerdo,alto risco
estou com inchaço severo nas pernas e abdômen e muita falta de ar,alto risco
tive episódio de coração acelerado com quase desmaio durante corrida,alto risco
sinto dor precordial intensa com sudorese profusa,alto risco
estou com desconforto torácico persistente e braço esquerdo dormente,alto risco
sinto palpitações com falta de ar e dor que vai para as costas,alto risco
acordo de madrugada com sufocamento e preciso de três travesseiros para dormir,alto risco
tenho tido episódios de desmaio recorrentes ao fazer esforço,alto risco
sinto um cansaço muito forte e dor de cabeça depois de correr,alto risco
estou com uma dor aguda no peito que piora quando respiro fundo,alto risco
tenho palpitações rápidas com início súbito que duram vários minutos,alto risco
sinto dor forte no peito depois de uma gripe que tive semana passada,alto risco
estou com dor no peito que melhora quando inclino para frente e piora deitado,alto risco
sinto dor no peito de um lado só quando respiro e tenho febre,alto risco
tive um leve incômodo nas costas depois de carregar peso,baixo risco
sinto um cansaço no final do dia depois do trabalho,baixo risco
tenho uma dor muscular no ombro que aparece quando durmo de lado,baixo risco
sinto um pouco de tontura quando levanto rápido da cama,baixo risco
tenho um desconforto leve no estômago depois de comer muito,baixo risco
sinto uma fisgada rápida no peito que passou em segundos,baixo risco
estou com dor nas costas que melhora com alongamento,baixo risco
tenho sentido um cansaço leve após caminhadas longas,baixo risco
sinto uma pontada no lado esquerdo do peito que dura poucos segundos,baixo risco
estou com dor de cabeça leve há dois dias,baixo risco
sinto os pés um pouco inchados no final do dia quando fico muito em pé,baixo risco
tenho uma sensação de queimação no estômago após refeições pesadas,baixo risco
sinto as pernas cansadas depois de ficar muito tempo sentado,baixo risco
estou com uma tosse seca que apareceu junto com o tempo frio,baixo risco
tenho uma dor no pescoço que piora quando fico no computador,baixo risco
sinto dormência nas mãos quando acordo pela manhã,baixo risco
estou com um leve desconforto no peito que passa quando mudo de posição,baixo risco
tenho sentido azia frequente depois do jantar,baixo risco
sinto as juntas doendo quando muda o tempo,baixo risco
estou com dor nas pernas após caminhar muito no fim de semana,baixo risco
tenho uma sensação de cansaço geral que melhora com descanso,baixo risco
sinto uma leve falta de ar quando subo muitas escadas mas passa rápido,baixo risco
estou com dor muscular depois de academia,baixo risco
tenho dormido mal e acordo com dor nas costas,baixo risco
sinto um incômodo no peito quando como muito rápido,baixo risco
estou com uma dor leve no braço que aparece quando faço repetição,baixo risco
tenho uma sensação de peso no estômago após almoço pesado,baixo risco
sinto uma fisgada na costela quando me viro rápido,baixo risco
estou com os olhos cansados e dor de cabeça leve,baixo risco
tenho um leve zumbido no ouvido que aparece e desaparece,baixo risco
sinto uma câimbra na panturrilha quando corro,baixo risco
estou com dor no joelho que piora ao descer escada,baixo risco
tenho sentido uma leve queimação no peito após tomar café,baixo risco
sinto incômodo no estômago e um pouco de gases,baixo risco
estou com uma dor muscular no pescoço depois de pegar friagem,baixo risco
tenho um desconforto na barriga que vai e volta sem motivo,baixo risco
sinto as mãos frias quando fico muito tempo parado,baixo risco
estou com uma leve falta de ar que aparece só quando estou ansioso,baixo risco
tenho uma dor nas costas embaixo que piora quando fico sentado muito tempo,baixo risco
sinto um cansaço leve que melhora com uma boa noite de sono,baixo risco
estou com os pés dormentes quando cruzo as pernas por muito tempo,baixo risco
tenho uma pontada no peito que aparece uma vez por semana e dura segundos,baixo risco
sinto uma leve queimação no peito que só aparece quando tomo refrigerante,baixo risco
estou com dor no ombro que piora ao levantar o braço,baixo risco
tenho sentido um cansaço maior que o normal mas acho que é estresse do trabalho,baixo risco
sinto uma leve pressão na cabeça quando estou muito ansioso,baixo risco
estou com dor na lombar que irradia para a perna quando fico em pé,baixo risco
tenho um formigamento leve nos dedos que dura poucos minutos,baixo risco
sinto uma sensação estranha no peito quando bebo muito café,baixo risco
estou com dor muscular generalizada depois de um treino pesado,baixo risco
tenho sentido uma leve tontura quando pulo refeições,baixo risco
sinto cansaço nas pernas no final da tarde mas melhora ao deitar,baixo risco
estou com uma dor no peito que aparece só quando aperto o local,baixo risco
tenho espirrado muito e sinto uma leve pressão no rosto,baixo risco
sinto uma dor no peito que aparece quando faço esforço mas não sei se é grave,alto risco
tenho palpitações de vez em quando mas não sinto mais nada,baixo risco
sinto tontura leve e um pouco de falta de ar quando estou nervoso,baixo risco
